"","Attr27","Attr34","Attr46","Attr58","Attr56","Attr24","target"
"1",11.554,4.5985,1.2133,0.92586,0.078728,0.16763,"0"
"2",0.27052,1.9501,1.1917,0.79303,0.26972,0.057817,"0"
"3",249.3,3.5679,6.5773,0.80748,0.15987,0.23538,"0"
"4",0.43483,0.097967,0.35935,1.0153,-0.015327,-0.68929,"0"
"5",3.3708,2.8781,0.88928,0.93881,0.11017,0.20858,"0"
"6",24.519,78.09,19.893,0.87268,0.12275,0.60357,"0"
"7",497.64,15.119,8.5823,0.73129,0.26455,1.9309,"0"
"8",0,1.5645,0.48228,0.46775,0.55142,0.004901,"0"
"9",-6.1782,5.6495,1.6829,1.0113,-0.098839,-0.030811,"0"
"10",1.0831,0.55638,0.98046,0.90228,0.097722,0.18201,"0"
"11",0.32997,0.10009,0.47172,0.96691,0.033089,-0.038259,"0"
"12",2.556,2.6793,1.3245,0.96295,0.24751,0.49162,"0"
"13",5.0936,4.6533,2.906,0.94686,0.058415,0.12543,"0"
"14",0,3.1286,0.7745,0.83261,0.17104,0.28428,"0"
"15",-965.75,4.7454,1.0484,1.0681,-0.074151,-0.24374,"0"
"16",1.5222,1.2498,7.3743,0.86378,0.13622,0.3123,"0"
"17",22.442,6.407,5.4668,0.79479,0.21178,0.27922,"0"
"18",1.0649,0.59306,1.6759,0.89679,0.10321,0.3237,"0"
"19",0.1217,0.17216,0.5435,0.99055,0.0094514,0.066201,"0"
"20",3.5256,8.1258,1.3578,0.9875,0.018209,0.18707,"0"
"21",-1.4805,1.1579,2.0001,0.94515,-0.0007346,0.23919,"0"
"22",2.1825,2.097,0.96281,0.98173,0.037995,0.090016,"0"
"23",0,0.13787,69.106,0.005204,0.99897,0.36379,"0"
"24",-119.01,4.5293,20.524,2.0493,-1.8023,1.3358,"0"
"25",1.272,0.26856,0.75633,0.88901,0.11099,0.26985,"0"
"26",0.40867,22.996,5.9629,0.96924,0.013067,0.61589,"0"
"27",417.520466770669,51.464,28.6649643123391,0.83025,0.17271,0.017551,"0"
"28",0.21371,0.058562,0.68906,0.97757,0.022433,0.11132,"0"
"29",0.84842,0.47838,0.68125,0.93717,0.062828,0.38424,"0"
"30",0.35065,0.35514,1.6911,0.96614,0.03386,0.083616,"0"
"31",1.3825,0.32242,1.1266,0.87331,0.12669,0.33409,"0"
"32",20.45,2.5679,0.84555,0.97409,0.041145,0.04066,"0"
"33",0.55956,2.3467,0.32026,1.0078,-0.18867,-0.047094,"0"
"34",1.4726,1.5852,2.6178,0.88356,0.11644,0.87349,"0"
"35",46.3062433195469,7.7107,2.8249,0.9339,0.0091015,-0.06861,"0"
"36",-2.7261,4.323,0.61058,1.035,-0.028061,0.072418,"0"
"37",0,2.9263,1.1979,0.86904,0.14849,0.10454,"0"
"38",101.05,2.0444,1.9413,0.84215,0.16028,0.95629,"0"
"39",0.016042,0.01871,1.5591,0.99271,0.0072887,0.25001,"0"
"40",4.2971,5.0445,1.1125,0.98663,0.017675,0.036103,"0"
"41",0.064107,0.04741,1.0251,0.99349,0.0065129,0.24264,"0"
"42",2301.4076178217,6.3981,6.7015,0.7129,0.23077,0.29599,"0"
"43",-0.54367,4.997,1.5311,1.008,0.0095452,-0.11348,"0"
"44",1377.4,16.808,28.247,0.58922,0.41107,0.91693,"0"
"45",0.35386,0.22478,0.75715,0.96523,0.034774,0.10138,"0"
